PeakID (cmd=annotatePeaks.pl bam_atac.mRp.clN_peaks.narrowPeak dm3_rel78.fa.gz -gid -gtf Drosophila_melanogaster.BDGP5.78.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
bam_atac.mRp.clN_peak_15150	X	21102372	21103152	+	564	NA	promoter-TSS (FBgn0011954)	tRNA-promoter-TSS (FBgn0011954)	-336	FBgn0052518	FBgn0052518	FBtr0077238			tRNA:CR32518:Psi			pseudogene
bam_atac.mRp.clN_peak_2915	2L	22874457	22875634	+	564	NA	exon (FBgn0000384, exon 1 of 6)	protein_coding-exon (FBgn0000384, exon 1 of 6)	511	FBgn0000384	FBgn0000384	FBtr0111126			cta			protein_coding
bam_atac.mRp.clN_peak_4242	2R	8416277	8417300	+	564	NA	exon (FBgn0011592, exon 1 of 10)	protein_coding-exon (FBgn0011592, exon 1 of 10)	227	FBgn0011592	FBgn0011592	FBtr0087822			fra			protein_coding
bam_atac.mRp.clN_peak_8801	3L	20801920	20803028	+	564	NA	promoter-TSS (FBgn0037027)	protein_coding-promoter-TSS (FBgn0037027)	-127	FBgn0037026	FBgn0037026	FBtr0331529			CG3634			protein_coding
bam_atac.mRp.clN_peak_12147	3R	20090259	20091343	+	563	NA	promoter-TSS (FBgn0051130)	tRNA-promoter-TSS (FBgn0051130)	-180	FBgn0051130	FBgn0051130	FBtr0084597			tRNA:CR31130			tRNA
bam_atac.mRp.clN_peak_11208	3R	13506133	13508815	+	563	NA	promoter-TSS (FBgn0038536)	protein_coding-promoter-TSS (FBgn0038536)	760	FBgn0038535	FBgn0038535	FBtr0089416			alt			protein_coding
bam_atac.mRp.clN_peak_1165	2L	8708436	8710198	+	563	NA	promoter-TSS (FBgn0004914)	protein_coding-promoter-TSS (FBgn0004914)	3745	FBgn0032061	FBgn0032061	FBtr0079731			CG9314			protein_coding
bam_atac.mRp.clN_peak_8913	3L	21531834	21533419	+	562	NA	promoter-TSS (FBgn0028663)	protein_coding-promoter-TSS (FBgn0028663)	-79	FBgn0263911	FBgn0263911	FBtr0078382			CoVIII			protein_coding
bam_atac.mRp.clN_peak_5633	2R	18773145	18774494	+	562	NA	promoter-TSS (FBgn0034793)	protein_coding-promoter-TSS (FBgn0034793)	-49	FBgn0034792	FBgn0034792	FBtr0304924			CG3499			protein_coding
bam_atac.mRp.clN_peak_276	2L	2177879	2178875	+	562	NA	exon (FBgn0000097, exon 1 of 4)	protein_coding-exon (FBgn0000097, exon 1 of 4)	372	FBgn0000097	FBgn0000097	FBtr0330660			aop			protein_coding
bam_atac.mRp.clN_peak_11985	3R	19046077	19047845	+	562	NA	intron (FBgn0262975, intron 1 of 10)	protein_coding-intron (FBgn0262975, intron 1 of 10)	722	FBgn0262975	FBgn0262975	FBtr0308227			cnc			protein_coding
bam_atac.mRp.clN_peak_3907	2R	6190035	6191171	+	562	NA	promoter-TSS (FBgn0033504)	protein_coding-promoter-TSS (FBgn0033504)	6673	FBgn0028426	FBgn0028426	FBtr0088360			JhI-1			protein_coding
bam_atac.mRp.clN_peak_13610	X	1755340	1756334	+	561	NA	promoter-TSS (FBgn0028969)	protein_coding-promoter-TSS (FBgn0028969)	-12	FBgn0028969	FBgn0028969	FBtr0301926			deltaCOP			protein_coding
bam_atac.mRp.clN_peak_3405	2R	2898701	2901013	+	561	NA	promoter-TSS (FBgn0029506)	protein_coding-promoter-TSS (FBgn0029506)	96	FBgn0029506	FBgn0029506	FBtr0086180			Tsp42Ee			protein_coding
bam_atac.mRp.clN_peak_13810	X	3705145	3705979	+	561	NA	promoter-TSS (FBgn0000542)	protein_coding-promoter-TSS (FBgn0000542)	7344	FBgn0061173	FBgn0061173	FBtr0070602			fd3F			protein_coding
bam_atac.mRp.clN_peak_15058	X	19606658	19607732	+	561	NA	promoter-TSS (FBgn0040089)	protein_coding-promoter-TSS (FBgn0040089)	-121	FBgn0040089	FBgn0040089	FBtr0301703			meso18E			protein_coding
bam_atac.mRp.clN_peak_8927	3L	21633735	21634532	+	561	NA	promoter-TSS (FBgn0052446)	protein_coding-promoter-TSS (FBgn0052446)	38	FBgn0052446	FBgn0052446	FBtr0330117			Atox1			protein_coding
bam_atac.mRp.clN_peak_2462	2L	19571125	19573038	+	560	NA	intron (FBgn0005672, intron 1 of 2)	protein_coding-intron (FBgn0005672, intron 1 of 1)	-1825	FBgn0262449	FBgn0262449	FBtr0309745			mir-2b-2			pre_miRNA
bam_atac.mRp.clN_peak_5028	2R	14299424	14300399	+	560	NA	promoter-TSS (FBgn0027835)	protein_coding-promoter-TSS (FBgn0027835)	400	FBgn0027835	FBgn0027835	FBtr0086681			Dp1			protein_coding
bam_atac.mRp.clN_peak_441	2L	3465827	3466587	+	560	NA	promoter-TSS (FBgn0021967)	protein_coding-promoter-TSS (FBgn0021967)	-35	FBgn0021967	FBgn0021967	FBtr0077521			Pdsw			protein_coding
bam_atac.mRp.clN_peak_14554	X	13307076	13307513	+	560	NA	promoter-TSS (FBgn0030486)	protein_coding-promoter-TSS (FBgn0030486)	19	FBgn0030486	FBgn0030486	FBtr0301559			Set2			protein_coding
bam_atac.mRp.clN_peak_8899	3L	21469543	21470159	+	560	NA	promoter-TSS (FBgn0014143)	protein_coding-promoter-TSS (FBgn0014143)	-272	FBgn0014143	FBgn0014143	FBtr0078395			croc			protein_coding
bam_atac.mRp.clN_peak_14565	X	13534286	13536253	+	559	NA	intron (FBgn0030505, intron 1 of 8)	protein_coding-intron (FBgn0030505, intron 1 of 9)	-3943	FBgn0030505	FBgn0030505	FBtr0301451			NFAT			protein_coding
bam_atac.mRp.clN_peak_3865	2R	5912836	5914781	+	559	NA	promoter-TSS (FBgn0033473)	protein_coding-promoter-TSS (FBgn0033473)	-261	FBgn0022382	FBgn0022382	FBtr0112902			Pka-R2			protein_coding
bam_atac.mRp.clN_peak_10212	3R	5958807	5960665	+	559	NA	exon (FBgn0004889, exon 1 of 5)	protein_coding-exon (FBgn0004889, exon 1 of 5)	149	FBgn0004889	FBgn0004889	FBtr0082192			tws			protein_coding
bam_atac.mRp.clN_peak_3830	2R	5706818	5707813	+	559	NA	promoter-TSS (FBgn0054033)	protein_coding-promoter-TSS (FBgn0054033)	-753	FBgn0054033	FBgn0054033	FBtr0100088			CG34033			protein_coding
bam_atac.mRp.clN_peak_10045	3R	4859166	4860208	+	559	NA	promoter-TSS (FBgn0002932)	protein_coding-promoter-TSS (FBgn0002932)	-4314	FBgn0037657	FBgn0037657	FBtr0081968			hyx			protein_coding
bam_atac.mRp.clN_peak_14719	X	15754066	15755055	+	559	NA	intron (FBgn0001105, intron 1 of 2)	protein_coding-intron (FBgn0001105, intron 1 of 3)	412	FBgn0001105	FBgn0001105	FBtr0074107			Gbeta13F			protein_coding
bam_atac.mRp.clN_peak_13619	X	1816662	1817608	+	559	NA	promoter-TSS (FBgn0023512)	protein_coding-promoter-TSS (FBgn0023512)	121	FBgn0023508	FBgn0023508	FBtr0332586			Ocrl			protein_coding
bam_atac.mRp.clN_peak_6921	3L	6935346	6936103	+	559	NA	promoter-TSS (FBgn0035719)	protein_coding-promoter-TSS (FBgn0035719)	-232	FBgn0035719	FBgn0035719	FBtr0113150			tow			protein_coding
bam_atac.mRp.clN_peak_4239	2R	8393561	8395234	+	559	NA	TTS (FBgn0033748)	protein_coding-TTS (FBgn0033748)	3914	FBgn0033748	FBgn0033748	FBtr0087945			vis			protein_coding
bam_atac.mRp.clN_peak_4357	2R	9369889	9370830	+	558	NA	TTS (FBgn0033842)	protein_coding-TTS (FBgn0033842)	364	FBgn0000119	FBgn0000119	FBtr0087702			arr			protein_coding
bam_atac.mRp.clN_peak_8907	3L	21500185	21501555	+	558	NA	promoter-TSS (FBgn0264561)	protein_coding-promoter-TSS (FBgn0264561)	-82	FBgn0037092	FBgn0037092	FBtr0078356			M6			protein_coding
bam_atac.mRp.clN_peak_6903	3L	6745096	6746184	+	558	NA	promoter-TSS (FBgn0035714)	protein_coding-promoter-TSS (FBgn0035714)	-254	FBgn0035713	FBgn0035713	FBtr0076951			CG10107			protein_coding
bam_atac.mRp.clN_peak_8664	3L	19932039	19932867	+	558	NA	promoter-TSS (FBgn0004852)	protein_coding-promoter-TSS (FBgn0004852)	66	FBgn0004852	FBgn0004852	FBtr0304746			Ac76E			protein_coding
bam_atac.mRp.clN_peak_11091	3R	12637549	12638094	+	558	NA	intron (FBgn0000014, intron 4 of 5)	protein_coding-intron (FBgn0000014, intron 5 of 6)	17946	FBgn0000014	FBgn0000014	FBtr0083388			abd-A			protein_coding
bam_atac.mRp.clN_peak_272	2L	2161180	2163409	+	557	NA	promoter-TSS (FBgn0000097)	protein_coding-promoter-TSS (FBgn0000097)	6534	FBgn0031393	FBgn0031393	FBtr0077832			CG15382			protein_coding
bam_atac.mRp.clN_peak_2395	2L	19133436	19135627	+	557	NA	intron (FBgn0010300, intron 1 of 4)	protein_coding-intron (FBgn0010300, intron 1 of 3)	702	FBgn0086447	FBgn0086447	FBtr0081161			l(2)37Cg			protein_coding
bam_atac.mRp.clN_peak_14893	X	17779459	17781607	+	557	NA	exon (FBgn0259168, exon 1 of 9)	protein_coding-exon (FBgn0259168, exon 1 of 9)	-1677	FBgn0030880	FBgn0030880	FBtr0074495			CG6788			protein_coding
bam_atac.mRp.clN_peak_7697	3L	12742642	12744348	+	557	NA	promoter-TSS (FBgn0036305)	protein_coding-promoter-TSS (FBgn0036305)	164	FBgn0036305	FBgn0036305	FBtr0075921			CG10984			protein_coding
bam_atac.mRp.clN_peak_12547	3R	22895417	22896128	+	557	NA	promoter-TSS (FBgn0003495)	protein_coding-promoter-TSS (FBgn0003495)	20	FBgn0003495	FBgn0003495	FBtr0085146			spz			protein_coding
bam_atac.mRp.clN_peak_825	2L	6455126	6456625	+	557	NA	promoter-TSS (FBgn0031815)	protein_coding-promoter-TSS (FBgn0031815)	59	FBgn0031814	FBgn0031814	FBtr0329951			retm			protein_coding
bam_atac.mRp.clN_peak_9700	3R	2178436	2179971	+	556	NA	promoter-TSS (FBgn0014001)	protein_coding-promoter-TSS (FBgn0014001)	2575	FBgn0014001	FBgn0014001	FBtr0081716			Pak			protein_coding
bam_atac.mRp.clN_peak_485	2L	3770873	3772206	+	556	NA	promoter-TSS (FBgn0004893)	protein_coding-promoter-TSS (FBgn0004893)	-381	FBgn0004893	FBgn0004893	FBtr0077493			bowl			protein_coding
bam_atac.mRp.clN_peak_4420	2R	9828281	9829832	+	556	NA	TTS (FBgn0033885)	protein_coding-TTS (FBgn0033885)	1826	FBgn0033885	FBgn0033885	FBtr0087615			DJ-1alpha			protein_coding
bam_atac.mRp.clN_peak_1146	2L	8534470	8536454	+	556	NA	promoter-TSS (FBgn0028394)	protein_coding-promoter-TSS (FBgn0028394)	6161	FBgn0051604	FBgn0051604	FBtr0079694			tRNA:CR31604			tRNA
bam_atac.mRp.clN_peak_12771	3R	24938310	24939387	+	555	NA	promoter-TSS (FBgn0039635)	protein_coding-promoter-TSS (FBgn0039635)	21	FBgn0039635	FBgn0039635	FBtr0085368			CG11876			protein_coding
bam_atac.mRp.clN_peak_8063	3L	15692718	15693303	+	555	NA	promoter-TSS (FBgn0041160)	protein_coding-promoter-TSS (FBgn0041160)	-60	FBgn0041160	FBgn0041160	FBtr0075580			comm2			protein_coding
bam_atac.mRp.clN_peak_8795	3L	20763975	20765414	+	555	NA	promoter-TSS (FBgn0016696)	protein_coding-promoter-TSS (FBgn0016696)	66	FBgn0016696	FBgn0016696	FBtr0331523			Pitslre			protein_coding
bam_atac.mRp.clN_peak_4166	2R	7875918	7877016	+	555	NA	promoter-TSS (FBgn0033673)	protein_coding-promoter-TSS (FBgn0033673)	-171	FBgn0033673	FBgn0033673	FBtr0088043			CG8298			protein_coding
bam_atac.mRp.clN_peak_4266	2R	8592466	8593170	+	554	NA	exon (FBgn0261545, exon 1 of 8)	protein_coding-exon (FBgn0261545, exon 1 of 8)	139	FBgn0261545	FBgn0261545	FBtr0310576			CG42663			protein_coding
bam_atac.mRp.clN_peak_6929	3L	6972364	6973263	+	554	NA	TTS (FBgn0047205)	ncRNA-TTS (FBgn0047205)	340	FBgn0001104	FBgn0001104	FBtr0076934			G-ialpha65A			protein_coding
bam_atac.mRp.clN_peak_11105	3R	12759227	12760671	+	554	NA	exon (FBgn0000015, exon 1 of 5)	protein_coding-exon (FBgn0000015, exon 1 of 5)	-2614	FBgn0000015	FBgn0000015	FBtr0330709			Abd-B			protein_coding
bam_atac.mRp.clN_peak_12735	3R	24636595	24638233	+	554	NA	promoter-TSS (FBgn0039600)	protein_coding-promoter-TSS (FBgn0039600)	-365	FBgn0005642	FBgn0005642	FBtr0085356			wdn			protein_coding
bam_atac.mRp.clN_peak_9414	3R	434776	436514	+	554	NA	Intergenic	Intergenic	-12579	FBgn0087012	FBgn0087012	FBtr0301885			5-HT2			protein_coding
bam_atac.mRp.clN_peak_7053	3L	7856511	7857499	+	554	NA	intron (FBgn0016694, intron 1 of 5)	protein_coding-intron (FBgn0016694, intron 1 of 4)	3464	FBgn0016694	FBgn0016694	FBtr0332080			Pdp1			protein_coding
bam_atac.mRp.clN_peak_2949	2R	135213	135977	+	554	NA	Intergenic	Intergenic	-5151	FBgn0262117	FBgn0262117	FBtr0111269			IntS3			protein_coding
bam_atac.mRp.clN_peak_3265	2R	2046166	2047441	+	554	NA	exon (FBgn0264505, exon 2 of 2)	ncRNA-exon (FBgn0264505, exon 2 of 2)	701	FBgn0264505	FBgn0264505	FBtr0332949			CR43904			ncRNA
bam_atac.mRp.clN_peak_13829	X	4010932	4011730	+	554	NA	promoter-TSS (FBgn0026080)	protein_coding-promoter-TSS (FBgn0026080)	-349	FBgn0026080	FBgn0026080	FBtr0333186			Tip60			protein_coding
bam_atac.mRp.clN_peak_939	2L	7219322	7220485	+	554	NA	TTS (FBgn0263133)	protein_coding-TTS (FBgn0263133)	126	FBgn0031897	FBgn0031897	FBtr0079414			CG13784			protein_coding
bam_atac.mRp.clN_peak_2671	2L	21155830	21157188	+	553	NA	promoter-TSS (FBgn0032921)	protein_coding-promoter-TSS (FBgn0032921)	-277	FBgn0024371	FBgn0024371	FBtr0081501			E2f2			protein_coding
bam_atac.mRp.clN_peak_6329	3L	2457618	2458996	+	553	NA	promoter-TSS (FBgn0261551)	protein_coding-promoter-TSS (FBgn0261551)	17307	FBgn0035343	FBgn0035343	FBtr0072968			CG16762			protein_coding
bam_atac.mRp.clN_peak_14469	X	12439940	12441510	+	553	NA	exon (FBgn0264542, exon 1 of 8)	protein_coding-exon (FBgn0264542, exon 1 of 8)	271	FBgn0264542	FBgn0264542	FBtr0333155			CG43921			protein_coding
bam_atac.mRp.clN_peak_5532	2R	18100056	18101109	+	553	NA	TTS (FBgn0034713)	protein_coding-TTS (FBgn0034713)	236	FBgn0025186	FBgn0025186	FBtr0071774			ari-2			protein_coding
bam_atac.mRp.clN_peak_9277	3L	24050830	24051823	+	552	NA	Intergenic	Intergenic	-16003	FBgn0011288	FBgn0011288	FBtr0304626			Snap25			protein_coding
bam_atac.mRp.clN_peak_4182	2R	8037812	8038622	+	552	NA	promoter-TSS (FBgn0027504)	protein_coding-promoter-TSS (FBgn0027504)	-106	FBgn0027504	FBgn0027504	FBtr0333063			CG8878			protein_coding
bam_atac.mRp.clN_peak_5064	2R	14498534	14499527	+	552	NA	TTS (FBgn0261587)	protein_coding-TTS (FBgn0261587)	230	FBgn0050115	FBgn0050115	FBtr0310055			GEFmeso			protein_coding
bam_atac.mRp.clN_peak_2582	2L	20638176	20638864	+	551	NA	promoter-TSS (FBgn0262688)	pseudogene-promoter-TSS (FBgn0262688)	-495	FBgn0262688	FBgn0262688	FBtr0305612			CR43158			pseudogene
bam_atac.mRp.clN_peak_8897	3L	21453300	21454034	+	551	NA	Intergenic	Intergenic	14733	FBgn0086377	FBgn0086377	FBtr0078352			Syx7			protein_coding
bam_atac.mRp.clN_peak_3308	2R	2279189	2280285	+	551	NA	Intergenic	Intergenic	141363	FBgn0264506	FBgn0264506	FBtr0332951			CR43905			ncRNA
bam_atac.mRp.clN_peak_13400	4	1080865	1082055	+	551	NA	promoter-TSS (FBgn0011642)	protein_coding-promoter-TSS (FBgn0011642)	82	FBgn0011642	FBgn0011642	FBtr0089214			Zyx			protein_coding
bam_atac.mRp.clN_peak_12002	3R	19171287	19172190	+	550	NA	exon (FBgn0003118, exon 1 of 9)	protein_coding-exon (FBgn0003118, exon 1 of 9)	146	FBgn0003118	FBgn0003118	FBtr0089715			pnt			protein_coding
bam_atac.mRp.clN_peak_13683	X	2187354	2188818	+	550	NA	promoter-TSS (FBgn0023526)	protein_coding-promoter-TSS (FBgn0023526)	-642	FBgn0023526	FBgn0023526	FBtr0070408			CG2865			protein_coding
bam_atac.mRp.clN_peak_2180	2L	17410097	17411055	+	550	NA	promoter-TSS (FBgn0032635)	protein_coding-promoter-TSS (FBgn0032635)	-65	FBgn0032635	FBgn0032635	FBtr0080979			CG15141			protein_coding
bam_atac.mRp.clN_peak_12739	3R	24669563	24671306	+	550	NA	promoter-TSS (FBgn0015589)	protein_coding-promoter-TSS (FBgn0015589)	-62	FBgn0015589	FBgn0015589	FBtr0085351			Apc			protein_coding
bam_atac.mRp.clN_peak_683	2L	5403494	5403965	+	550	NA	promoter-TSS (FBgn0016660)	protein_coding-promoter-TSS (FBgn0016660)	-613	FBgn0016660	FBgn0016660	FBtr0079076			H15			protein_coding
bam_atac.mRp.clN_peak_3903	2R	6158449	6159441	+	550	NA	promoter-TSS (FBgn0033504)	protein_coding-promoter-TSS (FBgn0033504)	5369	FBgn0033502	FBgn0033502	FBtr0088337			CG12910			protein_coding
bam_atac.mRp.clN_peak_2112	2L	16742906	16744139	+	549	NA	promoter-TSS (FBgn0261068)	protein_coding-promoter-TSS (FBgn0261068)	118	FBgn0032600	FBgn0032600	FBtr0080893			CG17912			protein_coding
bam_atac.mRp.clN_peak_11739	3R	17415581	17416815	+	549	NA	promoter-TSS (FBgn0013984)	protein_coding-promoter-TSS (FBgn0013984)	-285	FBgn0013984	FBgn0013984	FBtr0290232			InR			protein_coding
bam_atac.mRp.clN_peak_9792	3R	2911356	2912856	+	549	NA	promoter-TSS (FBgn0003884)	protein_coding-promoter-TSS (FBgn0003884)	-215	FBgn0003884	FBgn0003884	FBtr0081639			alphaTub84B			protein_coding
bam_atac.mRp.clN_peak_12053	3R	19555490	19556611	+	549	NA	exon (FBgn0065098, exon 1 of 1)	ncRNA-exon (FBgn0065098, exon 1 of 1)	101	FBgn0065098	FBgn0065098	FBtr0091662			RNaseMRP:RNA			ncRNA
bam_atac.mRp.clN_peak_11616	3R	16647180	16648296	+	549	NA	promoter-TSS (FBgn0019936)	protein_coding-promoter-TSS (FBgn0019936)	-154	FBgn0038829	FBgn0038829	FBtr0083993			CG17271			protein_coding
bam_atac.mRp.clN_peak_779	2L	6082522	6083480	+	549	NA	exon (FBgn0028420, exon 1 of 4)	protein_coding-exon (FBgn0028420, exon 1 of 4)	4548	FBgn0031778	FBgn0031778	FBtr0308942			CR9162			ncRNA
bam_atac.mRp.clN_peak_6054	3L	539595	540949	+	549	NA	promoter-TSS (FBgn0035140)	protein_coding-promoter-TSS (FBgn0035140)	-666	FBgn0035140	FBgn0035140	FBtr0331785			CG17180			protein_coding
bam_atac.mRp.clN_peak_14692	X	15597149	15598615	+	549	NA	promoter-TSS (FBgn0030671)	protein_coding-promoter-TSS (FBgn0030671)	-84	FBgn0030670	FBgn0030670	FBtr0074059			Pis			protein_coding
bam_atac.mRp.clN_peak_9024	3L	22269198	22270591	+	548	NA	promoter-TSS (FBgn0025702)	protein_coding-promoter-TSS (FBgn0025702)	-570	FBgn0025702	FBgn0025702	FBtr0306597			srpk79D			protein_coding
bam_atac.mRp.clN_peak_3623	2R	4119686	4120123	+	548	NA	promoter-TSS (FBgn0010109)	protein_coding-promoter-TSS (FBgn0010109)	-72	FBgn0010109	FBgn0010109	FBtr0088803			dpn			protein_coding
bam_atac.mRp.clN_peak_13978	X	6173081	6174010	+	548	NA	promoter-TSS (FBgn0086558)	protein_coding-promoter-TSS (FBgn0086558)	-240	FBgn0086558	FBgn0086558	FBtr0070933			Ubi-p5E			protein_coding
bam_atac.mRp.clN_peak_14473	X	12476883	12477757	+	548	NA	promoter-TSS (FBgn0030400)	protein_coding-promoter-TSS (FBgn0030400)	-94	FBgn0030400	FBgn0030400	FBtr0273245			CG11138			protein_coding
bam_atac.mRp.clN_peak_11502	3R	15686491	15687368	+	547	NA	promoter-TSS (FBgn0038737)	protein_coding-promoter-TSS (FBgn0038737)	84	FBgn0261984	FBgn0261984	FBtr0113248			Ire1			protein_coding
bam_atac.mRp.clN_peak_235	2L	1736948	1737684	+	547	NA	promoter-TSS (FBgn0264494)	protein_coding-promoter-TSS (FBgn0264494)	-153	FBgn0264494	FBgn0264494	FBtr0077886			CG17646			protein_coding
bam_atac.mRp.clN_peak_7985	3L	15097401	15098506	+	547	NA	intron (FBgn0262707, intron 1 of 3)	protein_coding-intron (FBgn0262707, intron 1 of 3)	-1029	FBgn0262707	FBgn0262707	FBtr0075635			CTPsyn			protein_coding
bam_atac.mRp.clN_peak_11100	3R	12724709	12725721	+	547	NA	intron (FBgn0263610, intron 2 of 7)	ncRNA-intron (FBgn0263610, intron 2 of 7)	7083	FBgn0263595	FBgn0263595	FBtr0309896			CR43617			ncRNA
bam_atac.mRp.clN_peak_7515	3L	11278332	11279609	+	547	NA	Intergenic	Intergenic	10049	FBgn0036152	FBgn0036152	FBtr0076183			CG6175			protein_coding
bam_atac.mRp.clN_peak_13491	X	652896	653607	+	547	NA	promoter-TSS (FBgn0040382)	protein_coding-promoter-TSS (FBgn0040382)	-400	FBgn0040382	FBgn0040382	FBtr0070137			CG5273			protein_coding
bam_atac.mRp.clN_peak_14471	X	12468596	12469945	+	546	NA	intron (FBgn0030400, intron 1 of 3)	protein_coding-intron (FBgn0030400, intron 1 of 3)	7956	FBgn0030400	FBgn0030400	FBtr0273245			CG11138			protein_coding
bam_atac.mRp.clN_peak_9899	3R	3826925	3827847	+	546	NA	promoter-TSS (FBgn0260723)	protein_coding-promoter-TSS (FBgn0260723)	102	FBgn0037536	FBgn0037536	FBtr0290324			CG2698			protein_coding
bam_atac.mRp.clN_peak_11191	3R	13359457	13361334	+	546	NA	promoter-TSS (FBgn0038515)	protein_coding-promoter-TSS (FBgn0038515)	-98	FBgn0038515	FBgn0038515	FBtr0321266			CG5823			protein_coding
bam_atac.mRp.clN_peak_9121	3L	22840531	22841287	+	545	NA	promoter-TSS (FBgn0052460)	tRNA-promoter-TSS (FBgn0052460)	-13	FBgn0052460	FBgn0052460	FBtr0078580			tRNA:CR32460			tRNA
bam_atac.mRp.clN_peak_13928	X	5631318	5632534	+	545	NA	TTS (FBgn0261383)	protein_coding-TTS (FBgn0261383)	5142	FBgn0029795	FBgn0029795	FBtr0070806			CG15773			protein_coding
bam_atac.mRp.clN_peak_11857	3R	18182207	18183424	+	545	NA	TTS (FBgn0038946)	protein_coding-TTS (FBgn0038946)	408	FBgn0038947	FBgn0038947	FBtr0084209			sar1			protein_coding
bam_atac.mRp.clN_peak_5808	2R	19932587	19934955	+	545	NA	TTS (FBgn0028552)	protein_coding-TTS (FBgn0028552)	588	FBgn0011726	FBgn0011726	FBtr0072188			tsr			protein_coding
bam_atac.mRp.clN_peak_7244	3L	9065223	9065902	+	545	NA	promoter-TSS (FBgn0035960)	protein_coding-promoter-TSS (FBgn0035960)	269	FBgn0035959	FBgn0035959	FBtr0331549			CG4911			protein_coding
bam_atac.mRp.clN_peak_4799	2R	12439431	12439886	+	544	NA	promoter-TSS (FBgn0034135)	protein_coding-promoter-TSS (FBgn0034135)	-107	FBgn0034135	FBgn0034135	FBtr0087097			Syn2			protein_coding
bam_atac.mRp.clN_peak_7079	3L	8058395	8059571	+	544	NA	promoter-TSS (FBgn0052361)	tRNA-promoter-TSS (FBgn0052361)	-158	FBgn0052361	FBgn0052361	FBtr0076741			tRNA:CR32361			tRNA
bam_atac.mRp.clN_peak_12159	3R	20158775	20159561	+	544	NA	promoter-TSS (FBgn0039183)	protein_coding-promoter-TSS (FBgn0039183)	23	FBgn0039183	FBgn0039183	FBtr0084605			Dis3			protein_coding
bam_atac.mRp.clN_peak_934	2L	7194156	7194924	+	544	NA	promoter-TSS (FBgn0031895)	protein_coding-promoter-TSS (FBgn0031895)	48	FBgn0031895	FBgn0031895	FBtr0079418			CG4497			protein_coding
bam_atac.mRp.clN_peak_1168	2L	8735310	8735978	+	544	NA	intron (FBgn0003209, intron 1 of 9)	protein_coding-intron (FBgn0003209, intron 1 of 8)	5016	FBgn0003209	FBgn0003209	FBtr0079746			raw			protein_coding
bam_atac.mRp.clN_peak_65	2L	412809	415335	+	543	NA	promoter-TSS (FBgn0263933)	protein_coding-promoter-TSS (FBgn0263933)	-995	FBgn0263933	FBgn0263933	FBtr0078055			ebi			protein_coding
bam_atac.mRp.clN_peak_10118	3R	5337997	5339069	+	543	NA	promoter-TSS (FBgn0014022)	protein_coding-promoter-TSS (FBgn0014022)	276	FBgn0003205	FBgn0003205	FBtr0082122			Ras85D			protein_coding
bam_atac.mRp.clN_peak_8435	3L	18107394	18107854	+	543	NA	exon (FBgn0052195, exon 2 of 4)	protein_coding-exon (FBgn0052195, exon 2 of 4)	240	FBgn0052195	FBgn0052195	FBtr0333697			CG32195			protein_coding
bam_atac.mRp.clN_peak_10119	3R	5341391	5342702	+	543	NA	promoter-TSS (FBgn0014023)	protein_coding-promoter-TSS (FBgn0014023)	-217	FBgn0014023	FBgn0014023	FBtr0082120			Rlc1			protein_coding
bam_atac.mRp.clN_peak_14757	X	16190259	16191600	+	543	NA	promoter-TSS (FBgn0030734)	protein_coding-promoter-TSS (FBgn0030734)	201	FBgn0030735	FBgn0030735	FBtr0112989			CG3632			protein_coding
bam_atac.mRp.clN_peak_4610	2R	11022736	11024141	+	543	NA	intron (FBgn0015371, intron 1 of 5)	protein_coding-intron (FBgn0015371, intron 1 of 4)	9586	FBgn0262954	FBgn0262954	FBtr0112379			Rpb12			protein_coding
bam_atac.mRp.clN_peak_4354	2R	9336320	9338504	+	543	NA	promoter-TSS (FBgn0086757)	protein_coding-promoter-TSS (FBgn0086757)	-507	FBgn0013765	FBgn0013765	FBtr0309888			cnn			protein_coding
bam_atac.mRp.clN_peak_10408	3R	7475684	7476873	+	542	NA	promoter-TSS (FBgn0037926)	protein_coding-promoter-TSS (FBgn0037926)	-432	FBgn0037926	FBgn0037926	FBtr0082420			Elp1			protein_coding
bam_atac.mRp.clN_peak_2679	2L	21214524	21215383	+	542	NA	TTS (FBgn0003930)	snRNA-TTS (FBgn0003930)	225	FBgn0003930	FBgn0003930	FBtr0081489			snRNA:U4:39B			snRNA
bam_atac.mRp.clN_peak_4888	2R	13152585	13153320	+	542	NA	promoter-TSS (FBgn0261642)	protein_coding-promoter-TSS (FBgn0261642)	3108	FBgn0261642	FBgn0261642	FBtr0086993			mbl			protein_coding
bam_atac.mRp.clN_peak_6950	3L	7117969	7118742	+	542	NA	promoter-TSS (FBgn0035741)	protein_coding-promoter-TSS (FBgn0035741)	278	FBgn0002775	FBgn0002775	FBtr0076926			msl-3			protein_coding
bam_atac.mRp.clN_peak_3472	2R	3306054	3307256	+	542	NA	exon (FBgn0003460, exon 1 of 7)	protein_coding-exon (FBgn0003460, exon 1 of 7)	118	FBgn0003460	FBgn0003460	FBtr0088970			so			protein_coding
